Date,Price,Open,High,Low,Vol.,Change %,Daily Return
2024-09-20,116.0,117.06,118.62,115.39,382460000.0,-0.0159,
2024-09-19,117.87,117.35,119.66,117.25,293510000.0,0.0397,0.016120689655172438
2024-09-18,113.37,115.89,117.7,113.22,310320000.0,-0.0192,-0.03817765334690759
2024-09-17,115.59,118.17,118.8,114.83,231930000.0,-0.0102,0.019581899973537986
2024-09-16,116.78,116.79,118.18,114.36,248770000.0,-0.0195,0.010295008218704105
2024-09-13,119.1,119.08,119.96,117.6,238360000.0,-0.0003,0.019866415482103106
2024-09-12,119.14,116.84,120.79,115.38,367100000.0,0.0191,0.0003358522250209717
2024-09-11,116.91,109.39,117.19,107.42,441420000.0,0.0815,-0.01871747523921441
2024-09-10,108.1,107.81,109.4,104.95,268279999.99999997,0.015300000000000001,-0.07535711230861353
2024-09-09,106.47,104.88,106.55,103.69,273910000.0,0.0354,-0.015078630897317202
2024-09-06,102.83,108.04,108.15,100.95,413640000.0,-0.0409,-0.03418803418803418
2024-09-05,107.21,104.99,109.65,104.76,306850000.0,0.009399999999999999,0.042594573568024874
2024-09-04,106.21,105.41,113.27,104.12,372470000.0,-0.0166,-0.009327488107452653
2024-09-03,108.0,116.01,116.21,107.29,477160000.0,-0.0953,0.01685340363430954
2024-08-30,119.37,119.53,121.75,117.22,333750000.0,0.0151,0.1052777777777778
2024-08-29,117.59,121.36,124.43,116.71,453020000.0,-0.0638,-0.014911619334841308
2024-08-28,125.61,128.12,128.33,122.64,448100000.0,-0.021,0.06820307849306917
2024-08-27,128.3,125.05,129.2,123.88,303140000.0,0.0146,0.021415492397102165
2024-08-26,126.46,129.57,131.26,124.37,331960000.0,-0.0225,-0.014341387373343895
2024-08-23,129.37,125.86,129.6,125.22,323230000.0,0.0455,0.0230112288470663
2024-08-22,123.74,130.02,130.75,123.1,376190000.0,-0.037000000000000005,-0.04351859009043835
2024-08-21,128.5,127.32,129.35,126.66,257880000.0,0.0098,0.03846775497009869
2024-08-20,127.25,128.4,129.88,125.89,300090000.0,-0.0212,-0.009727626459143934
2024-08-19,130.0,124.28,130.0,123.42,318330000.0,0.0435,0.0216110019646365
2024-08-16,124.58,121.94,125.0,121.18,302590000.0,0.013999999999999999,-0.041692307692307695
2024-08-15,122.86,118.76,123.24,117.47,318090000.0,0.0405,-0.013806389468614566
2024-08-14,118.08,118.53,118.6,114.07,339250000.0,0.0167,-0.03890607195181506
2024-08-13,116.14,112.44,116.23,111.58,312650000.0,0.0653,-0.016429539295392925
2024-08-12,109.02,106.32,111.07,106.26,325560000.0,0.0408,-0.06130532116411236
2024-08-09,104.75,105.64,106.6,103.43,290840000.0,-0.0021,-0.039167125298110395
2024-08-08,104.97,102.0,105.5,97.52,391910000.0,0.0613,0.0021002386634845216
2024-08-07,98.91,107.81,108.8,98.69,411440000.0,-0.0512,-0.057730780222920886
2024-08-06,104.25,103.84,107.71,100.55,409010000.0,0.0378,0.05398847437064003
2024-08-05,100.45,92.06,103.41,90.69,552840000.0,-0.0636,-0.0364508393285371
2024-08-02,107.27,103.76,108.72,101.37,482030000.0,-0.0178,0.06789447486311584
2024-08-01,109.21,117.53,120.16,106.81,523460000.00000006,-0.0667,0.018085205556073403
2024-07-31,117.02,112.9,118.34,110.88,473170000.0,0.1281,0.07151359765589227
2024-07-30,103.73,111.52,111.99,102.54,486830000.0,-0.0704,-0.11357032985814386
2024-07-29,111.59,113.69,116.28,111.3,248150000.0,-0.013000000000000001,0.07577364311192514
2024-07-26,113.06,116.19,116.2,111.58,293400000.0,0.0069,0.013173223407115353
2024-07-25,112.28,113.04,116.63,106.3,460070000.0,-0.0172,-0.0068989916858305245
