Date,Price,Open,High,Low,Vol.,Change %,Daily Return
2024-09-20,152.28,153.36,153.36,150.71,3420000.0,-0.005,
2024-09-19,153.05,148.5,153.07,148.11,3460000.0,0.0524,0.005056474914630904
2024-09-18,145.43,145.41,148.5,143.85,2170000.0,0.0024,-0.04978765109441363
2024-09-17,145.08,140.93,146.6,140.93,2170000.0,0.029300000000000003,-0.002406656123220774
2024-09-16,140.95,138.9,141.8,138.9,2610000.0,0.014199999999999999,-0.028467052660601233
2024-09-13,138.97,138.5,140.65,137.64,1820000.0,0.0104,-0.014047534586732802
2024-09-12,137.54,136.74,138.07,134.73,1950000.0,0.0079,-0.010289990645463098
2024-09-11,136.46,136.75,136.8,132.61,2860000.0,-0.0111,-0.007852261160389618
2024-09-10,137.99,140.26,140.63,131.55,7080000.0,-0.0323,0.011212076799061998
2024-09-09,142.6,140.42,143.53,139.95,2000000.0,0.0259,0.033408217986810484
2024-09-06,139.0,142.1,145.08,138.14,2380000.0,-0.0217,-0.02524544179523136
2024-09-05,142.09,144.79,145.37,140.91,2260000.0,-0.011699999999999999,0.022230215827338196
2024-09-04,143.77,146.32,147.17,142.85,2000000.0,-0.0126,0.011823492152860826
2024-09-03,145.6,145.47,147.27,144.93,1530000.0,-0.0091,0.012728663838074583
2024-08-30,146.93,145.68,147.22,144.85,1980000.0,0.010700000000000001,0.009134615384615463
2024-08-29,145.37,145.32,145.63,142.76,1230000.0,0.0085,-0.010617300755461745
2024-08-28,144.15,142.07,144.53,142.07,1770000.0,0.0124,-0.008392378069753015
2024-08-27,142.38,142.71,143.43,141.86,1060000.0,-0.001,-0.012278876170655595
2024-08-26,142.52,143.44,144.01,141.63,1820000.0,-0.0001,0.000983284169125076
2024-08-23,142.54,140.46,143.68,139.52,2890000.0,0.0219,0.00014033118158840452
2024-08-22,139.48,139.56,140.63,139.06,2340000.0,-0.0021,-0.021467658201206663
2024-08-21,139.78,141.8,142.3,139.19,1390000.0,-0.012199999999999999,0.0021508459994266094
2024-08-20,141.51,142.5,142.62,140.92,1330000.0,-0.009899999999999999,0.012376591787093938
2024-08-19,142.93,139.74,143.0,139.74,1340000.0,0.0241,0.010034626528160562
2024-08-16,139.56,137.06,139.81,136.58,1880000.0,0.0179,-0.023577975232631387
2024-08-15,137.11,138.34,141.17,136.07,2370000.0,0.0085,-0.01755517340212087
2024-08-14,135.95,134.7,136.4,134.04,1700000.0,0.0146,-0.008460360294654135
2024-08-13,134.0,133.0,134.27,131.78,1670000.0,0.014199999999999999,-0.014343508642883362
